mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
191118_mia337_081675_64Kmesh_MMrepaired,31771,223621,CUDSS,PARTH,11,,0,0,6.71097,234,25,13,6,1.50834e-14
Mia_000887_ShakyamuniBuddha,32008,224008,CUDSS,PARTH,9,,0,0,7.08341,148,23,11,6,1.50339e-14
Mia_000887_ShakyamuniBuddha,32008,224008,CUDSS,PARTH,11,,0,0,6.92368,263,25,12,6,1.50137e-14
Mia_001135_Zun_64K_OBJ,31996,223996,CUDSS,PARTH,9,,0,0,6.49737,139,23,13,6,1.51932e-14
Mia_001135_Zun_64K_OBJ,31996,223996,CUDSS,PARTH,11,,0,0,6.41031,231,23,10,6,1.52363e-14
chinese_dragon,65599,459181,CUDSS,PARTH,9,,0,0,5.32873,239,30,11,7,2.14344e-14
chinese_dragon,65599,459181,CUDSS,PARTH,11,,0,0,5.25645,408,28,11,7,2.14357e-14
loop,173440,1214560,CUDSS,PARTH,9,,0,0,10.8187,642,50,9,17,3.51137e-14
loop,173440,1214560,CUDSS,PARTH,11,,0,0,10.7373,698,48,9,16,3.51574e-14
Jahn_C,181309,1269151,CUDSS,PARTH,9,,0,0,8.28053,673,57,20,9,3.57333e-14
Jahn_C,181309,1269151,CUDSS,PARTH,11,,0,0,8.30163,737,56,19,9,3.5762e-14
edgar-allan-poe-1,194632,1362412,CUDSS,PARTH,9,,0,0,8.44056,700,52,8,18,3.71131e-14
edgar-allan-poe-1,194632,1362412,CUDSS,PARTH,11,,0,0,8.39373,724,50,9,17,3.71223e-14
d200k,200926,1402776,CUDSS,PARTH,9,,0,0,9.82062,711,62,23,10,3.78957e-14
d200k,200926,1402776,CUDSS,PARTH,11,,0,0,9.70572,724,64,20,9,3.78348e-14
Hans_Moser_C,203915,1427393,CUDSS,PARTH,9,,0,0,8.9437,780,63,22,10,3.80874e-14
Hans_Moser_C,203915,1427393,CUDSS,PARTH,11,,0,0,8.88519,752,61,21,9,3.81105e-14
Maenner_Gespraech_C,237402,1661886,CUDSS,PARTH,9,,0,0,8.8364,864,73,24,9,4.09379e-14
Maenner_Gespraech_C,237402,1661886,CUDSS,PARTH,11,,0,0,8.80691,975,77,23,9,4.09162e-14
Marx_Mozart_C,241878,1695366,CUDSS,PARTH,9,,0,0,7.35336,882,68,21,9,4.13505e-14
Marx_Mozart_C,241878,1695366,CUDSS,PARTH,11,,0,0,7.38296,895,68,19,9,4.1275e-14
Marx_Grab01_C,242564,1697948,CUDSS,PARTH,9,,0,0,8.92294,915,80,26,10,4.15431e-14
Marx_Grab01_C,242564,1697948,CUDSS,PARTH,11,,0,0,8.92777,976,74,26,10,4.15177e-14
Engel_C_1,244255,1709797,CUDSS,PARTH,9,,0,0,8.6992,896,76,26,10,4.17143e-14
Engel_C_1,244255,1709797,CUDSS,PARTH,11,,0,0,8.70075,901,80,25,11,4.16715e-14
Figur_Hase_C,248995,1742953,CUDSS,PARTH,9,,0,0,9.16881,894,79,30,10,4.19653e-14
Figur_Hase_C,248995,1742953,CUDSS,PARTH,11,,0,0,9.13938,989,73,25,10,4.19494e-14
sphere5_0p5M,249534,1746726,CUDSS,PARTH,9,,0,0,9.93064,925,81,31,12,4.07359e-14
sphere5_0p5M,249534,1746726,CUDSS,PARTH,11,,0,0,9.8791,942,77,26,12,4.06533e-14
Marx_Grab03_C,252147,1765017,CUDSS,PARTH,9,,0,0,8.82734,905,73,24,10,4.21664e-14
Marx_Grab03_C,252147,1765017,CUDSS,PARTH,11,,0,0,8.77736,915,70,22,10,4.21908e-14
Faun_C,253578,1775202,CUDSS,PARTH,9,,0,0,8.3924,942,64,11,23,4.23936e-14
Faun_C,253578,1775202,CUDSS,PARTH,11,,0,0,8.38943,949,59,7,21,4.2402e-14
Guter_Hirte_CN,258241,1807723,CUDSS,PARTH,9,,0,0,8.30991,996,64,11,21,4.25737e-14
Guter_Hirte_CN,258241,1807723,CUDSS,PARTH,11,,0,0,8.33858,974,59,6,21,4.2623e-14
Brunnen_C,262023,1833119,CUDSS,PARTH,9,,0,0,8.01744,952,75,23,10,4.29352e-14
Brunnen_C,262023,1833119,CUDSS,PARTH,11,,0,0,8.03588,962,69,20,10,4.28849e-14
egg-carton-from-muslim-farms-master-geometry,262138,1835002,CUDSS,PARTH,9,,0,0,9.93211,979,78,28,11,nan
egg-carton-from-muslim-farms-master-geometry,262138,1835002,CUDSS,PARTH,11,,0,0,9.99343,1019,78,27,12,nan
Marx_Albrechtsberger_C,263082,1841598,CUDSS,PARTH,9,,0,0,8.84796,948,72,23,11,4.31992e-14
Marx_Albrechtsberger_C,263082,1841598,CUDSS,PARTH,11,,0,0,8.88978,986,74,21,11,4.31771e-14
Baeren_C,263345,1843403,CUDSS,PARTH,9,,0,0,9.84752,963,79,28,12,4.30701e-14
Baeren_C,263345,1843403,CUDSS,PARTH,11,,0,0,9.80923,1110,74,26,13,4.31142e-14
Engel_C,264483,1851477,CUDSS,PARTH,9,,0,0,8.75855,965,74,26,10,4.32841e-14
Engel_C,264483,1851477,CUDSS,PARTH,11,,0,0,8.70374,1019,70,23,10,4.33062e-14
Die_Lesende_C,264532,1851712,CUDSS,PARTH,9,,0,0,8.94365,942,72,24,10,4.31436e-14
Die_Lesende_C,264532,1851712,CUDSS,PARTH,11,,0,0,9.06473,1017,71,22,10,4.31345e-14
Muellergruppe_C,271249,1898887,CUDSS,PARTH,9,,0,0,8.71872,986,75,22,10,4.37636e-14
Muellergruppe_C,271249,1898887,CUDSS,PARTH,11,,0,0,8.77849,1065,73,23,10,4.37503e-14
AufspringendesPferd_C,272922,1910478,CUDSS,PARTH,9,,0,0,8.87111,965,75,24,11,4.39514e-14
AufspringendesPferd_C,272922,1910478,CUDSS,PARTH,11,,0,0,8.86301,1000,74,22,11,4.39432e-14
Adolf_Schaerf_C,280600,1964166,CUDSS,PARTH,9,,0,0,9.218,1056,75,27,11,4.4518e-14
