G_N,G_NNZ,factor/matrix NNZ ratio,factor/metis factor,org factor/metis factor,ordering_time,analysis_time,factorization_time,solve_time,residual
120000,2099139,25.9927,1.34508,1.6088,75,-1,-1,-1,0
120000,2099769,25.835,1.32085,1.59099,56,-1,-1,-1,0
120000,2099706,26.2819,1.34979,1.59839,56,-1,-1,-1,0
120000,2099688,26.7765,1.38955,1.61339,54,-1,-1,-1,0
120000,2099670,26.4693,1.37703,1.61821,58,-1,-1,-1,0
120000,2099661,26.7341,1.37813,1.60381,60,-1,-1,-1,0
120000,2099715,27.0218,1.38131,1.59036,57,-1,-1,-1,0
120000,2099697,26.539,1.37293,1.60643,57,-1,-1,-1,0
120000,2094819,27.2872,1.39824,1.58717,73,-1,-1,-1,0
120000,2097051,27.0153,1.36108,1.5739,76,-1,-1,-1,0
120000,2099850,26.4398,1.33579,1.61598,56,-1,-1,-1,0
120000,2101515,26.6469,1.36677,1.68118,58,-1,-1,-1,0
120000,2103315,27.7247,1.37418,1.69536,54,-1,-1,-1,0
120000,2106339,27.9954,1.37305,1.74622,79,-1,-1,-1,0
120000,2110623,29.6992,1.4362,1.80491,57,-1,-1,-1,0
120000,2116572,31.0384,1.48311,1.86144,66,-1,-1,-1,0
120000,2124321,29.9576,1.40452,1.92402,62,-1,-1,-1,0
120000,2134167,31.7879,1.5121,2.14093,54,-1,-1,-1,0
120000,2144382,31.6701,1.47418,2.23803,63,-1,-1,-1,0
120000,2153805,31.7049,1.44254,2.33359,59,-1,-1,-1,0
120000,2154165,32.8589,1.51,2.3589,59,-1,-1,-1,0
120000,2155623,32.8808,1.51478,2.36876,82,-1,-1,-1,0
120000,2155713,33.921,1.55072,2.3552,74,-1,-1,-1,0
120000,2156316,34.4253,1.58071,2.35907,79,-1,-1,-1,0
120000,2156388,34.9174,1.61601,2.37456,54,-1,-1,-1,0
120000,2156622,34.3805,1.59104,2.37947,61,-1,-1,-1,0
120000,2156649,33.1511,1.51222,2.34367,59,-1,-1,-1,0
120000,2157423,35.8008,1.63435,2.35033,59,-1,-1,-1,0
120000,2157405,34.8391,1.59035,2.35524,70,-1,-1,-1,0
120000,2157387,33.6177,1.52916,2.34286,62,-1,-1,-1,0
120000,2157720,33.1992,1.52003,2.35424,64,-1,-1,-1,0
120000,2157702,33.0914,1.53205,2.37909,59,-1,-1,-1,0
120000,2157684,34.6846,1.59797,2.36926,69,-1,-1,-1,0
120000,2157729,34.8877,1.61953,2.38738,54,-1,-1,-1,0
120000,2157873,33.9609,1.56127,2.36457,65,-1,-1,-1,0
120000,2158071,32.6891,1.50317,2.37106,56,-1,-1,-1,0
120000,2158080,33.5334,1.54606,2.37778,58,-1,-1,-1,0
120000,2158125,32.6186,1.48594,2.35127,64,-1,-1,-1,0
120000,2158125,34.0025,1.553,2.35579,79,-1,-1,-1,0
120000,2158134,33.6845,1.54278,2.3635,57,-1,-1,-1,0
120000,2158206,33.5389,1.54774,2.38335,57,-1,-1,-1,0
120000,2158287,33.0888,1.51526,2.36597,74,-1,-1,-1,0
120000,2158476,33.3678,1.52378,2.35918,65,-1,-1,-1,0
120000,2158575,33.1017,1.51077,2.35761,61,-1,-1,-1,0
120000,2151681,33.3619,1.53464,2.35557,62,-1,-1,-1,0
120000,2165766,33.5827,1.51313,2.63454,55,-1,-1,-1,0
120000,2179185,36.4734,1.58694,2.80224,57,-1,-1,-1,0
120000,2186178,39.7396,1.70833,2.87408,61,-1,-1,-1,0
120000,2191596,38.237,1.65173,2.97448,56,-1,-1,-1,0
120000,2199102,38.912,1.6703,3.04369,56,-1,-1,-1,0
120000,2203791,37.5461,1.61051,3.07584,60,-1,-1,-1,0
120000,2208336,38.6672,1.64684,3.09282,77,-1,-1,-1,0
120000,2212575,38.4801,1.62254,3.11547,84,-1,-1,-1,0
120000,2217192,39.0433,1.60973,3.08704,61,-1,-1,-1,0
120000,2217714,41.0597,1.73427,3.16913,71,-1,-1,-1,0
120000,2218290,40.1862,1.70469,3.1888,59,-1,-1,-1,0
120000,2219964,40.193,1.66239,3.13498,60,-1,-1,-1,0
120000,2221953,39.9507,1.67602,3.1889,59,-1,-1,-1,0
120000,2222961,38.8693,1.62791,3.18604,82,-1,-1,-1,0
120000,2223546,38.9865,1.63209,3.19049,57,-1,-1,-1,0
120000,2224500,41.559,1.73883,3.1931,61,-1,-1,-1,0
120000,2225166,40.3877,1.68971,3.19685,71,-1,-1,-1,0
120000,2225706,39.9279,1.66604,3.18477,57,-1,-1,-1,0
120000,2226462,40.0888,1.69296,3.2241,59,-1,-1,-1,0
120000,2227236,40.7395,1.71064,3.20593,64,-1,-1,-1,0
120000,2227713,40.3837,1.6841,3.18391,58,-1,-1,-1,0
