mesh_name,iteration,ordering_type,solver_type,G_N,G_NNZ,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,prep_time,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
Marx_Grab01_C,0,DEFAULT,CUDSS,242564,1697948,0,,0,0,0,-1,-1,1114,55,20,9,1.29307
Marx_Grab01_C,1,DEFAULT,CUDSS,242564,1697948,0,,0,0,0,0,0,0,0,15,8,5.38403e-05
Marx_Grab01_C,2,DEFAULT,CUDSS,242564,1697948,0,,0,0,0,0,0,0,0,15,8,3.70697e-05
Marx_Grab01_C,3,DEFAULT,CUDSS,242564,1697948,0,,0,0,0,0,0,0,0,15,8,3.20568e-05
Marx_Grab01_C,4,DEFAULT,CUDSS,242564,1697948,0,,0,0,0,0,0,0,0,15,8,2.87309e-05
Marx_Grab01_C,5,DEFAULT,CUDSS,242564,1697948,0,,0,0,0,0,0,0,0,15,8,2.5849e-05
Engel_C_1,0,DEFAULT,CUDSS,244255,1709797,0,,0,0,0,-1,-1,1126,56,23,9,0.733639
Engel_C_1,1,DEFAULT,CUDSS,244255,1709797,0,,0,0,0,0,0,0,0,17,8,3.96171e-05
Engel_C_1,2,DEFAULT,CUDSS,244255,1709797,0,,0,0,0,0,0,0,0,17,8,2.27417e-05
Engel_C_1,3,DEFAULT,CUDSS,244255,1709797,0,,0,0,0,0,0,0,0,17,8,1.72581e-05
Engel_C_1,4,DEFAULT,CUDSS,244255,1709797,0,,0,0,0,0,0,0,0,17,8,1.38732e-05
Engel_C_1,5,DEFAULT,CUDSS,244255,1709797,0,,0,0,0,0,0,0,0,17,8,1.1706e-05
Figur_Hase_C,0,DEFAULT,CUDSS,248995,1742953,0,,0,0,0,-1,-1,1174,57,23,10,4.83519
Figur_Hase_C,1,DEFAULT,CUDSS,248995,1742953,0,,0,0,0,0,0,0,0,17,8,2.31211e-05
Figur_Hase_C,2,DEFAULT,CUDSS,248995,1742953,0,,0,0,0,0,0,0,0,17,8,1.57254e-05
Figur_Hase_C,3,DEFAULT,CUDSS,248995,1742953,0,,0,0,0,0,0,0,0,18,8,1.31191e-05
Figur_Hase_C,4,DEFAULT,CUDSS,248995,1742953,0,,0,0,0,0,0,0,0,17,8,1.15211e-05
Figur_Hase_C,5,DEFAULT,CUDSS,248995,1742953,0,,0,0,0,0,0,0,0,18,8,1.05537e-05
sphere5_0p5M,0,DEFAULT,CUDSS,249534,1746726,0,,0,0,0,-1,-1,1435,62,28,10,0.0122483
sphere5_0p5M,1,DEFAULT,CUDSS,249534,1746726,0,,0,0,0,0,0,0,0,23,9,8.82475e-06
sphere5_0p5M,2,DEFAULT,CUDSS,249534,1746726,0,,0,0,0,0,0,0,0,23,9,8.82474e-06
sphere5_0p5M,3,DEFAULT,CUDSS,249534,1746726,0,,0,0,0,0,0,0,0,23,9,8.82474e-06
sphere5_0p5M,4,DEFAULT,CUDSS,249534,1746726,0,,0,0,0,0,0,0,0,23,9,8.82474e-06
sphere5_0p5M,5,DEFAULT,CUDSS,249534,1746726,0,,0,0,0,0,0,0,0,23,9,8.82474e-06
Marx_Grab03_C,0,DEFAULT,CUDSS,252147,1765017,0,,0,0,0,-1,-1,1174,56,21,9,0.377693
Marx_Grab03_C,1,DEFAULT,CUDSS,252147,1765017,0,,0,0,0,0,0,0,0,15,8,3.87374e-05
Marx_Grab03_C,2,DEFAULT,CUDSS,252147,1765017,0,,0,0,0,0,0,0,0,16,8,2.4937e-05
Marx_Grab03_C,3,DEFAULT,CUDSS,252147,1765017,0,,0,0,0,0,0,0,0,15,8,1.97431e-05
Marx_Grab03_C,4,DEFAULT,CUDSS,252147,1765017,0,,0,0,0,0,0,0,0,15,8,1.72113e-05
